Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,222.462500,-49.750000,180.000000,bottom
C2,4.7u,C_0603_1608Metric,216.000000,-35.712500,90.000000,bottom
C3,1u,C_0603_1608Metric,222.750000,-47.750000,180.000000,bottom
C4,4.7u,C_0603_1608Metric,227.500000,-31.750000,0.000000,bottom
C5,1u,C_0603_1608Metric,238.250000,-35.962500,270.000000,bottom
C6,1u,C_0603_1608Metric,233.250000,-35.000000,270.000000,bottom
C7,100n,C_0603_1608Metric,217.500000,-35.712500,90.000000,bottom
C8,100n,C_0603_1608Metric,230.500000,-41.462500,270.000000,bottom
C9,10n,C_0603_1608Metric,222.750000,-46.250000,180.000000,bottom
C10,100n,C_0603_1608Metric,227.500000,-33.250000,0.000000,bottom
D_0,D,D_SOD-123,18.050000,-9.525000,90.000000,bottom
D_1,D,D_SOD-123,37.100000,-9.525000,90.000000,bottom
D_2,D,D_SOD-123,56.150000,-9.525000,90.000000,bottom
D_3,D,D_SOD-123,75.200000,-9.525000,90.000000,bottom
D_4,D,D_SOD-123,94.250000,-9.525000,90.000000,bottom
D_5,D,D_SOD-123,113.300000,-9.525000,90.000000,bottom
D_6,D,D_SOD-123,132.350000,-9.525000,90.000000,bottom
D_7,D,D_SOD-123,151.400000,-9.525000,90.000000,bottom
D_8,D,D_SOD-123,170.450000,-9.525000,90.000000,bottom
D_9,D,D_SOD-123,189.500000,-9.525000,90.000000,bottom
D_10,D,D_SOD-123,208.359375,-9.525000,90.000000,bottom
D_11,D,D_SOD-123,210.740625,-9.525000,90.000000,bottom
D_12,D,D_SOD-123,246.459375,-9.525000,90.000000,bottom
D_13,D,D_SOD-123,248.840625,-9.525000,90.000000,bottom
D_14,D,D_SOD-123,283.700000,-9.525000,90.000000,bottom
D_15,D,D_SOD-123,27.575000,-28.575000,90.000000,bottom
D_16,D,D_SOD-123,46.625000,-28.575000,90.000000,bottom
D_17,D,D_SOD-123,65.675000,-28.575000,90.000000,bottom
D_18,D,D_SOD-123,84.725000,-28.575000,90.000000,bottom
D_19,D,D_SOD-123,103.775000,-28.575000,90.000000,bottom
D_20,D,D_SOD-123,122.825000,-28.575000,90.000000,bottom
D_21,D,D_SOD-123,141.875000,-28.575000,90.000000,bottom
D_22,D,D_SOD-123,160.925000,-28.575000,90.000000,bottom
D_23,D,D_SOD-123,179.785130,-28.575000,90.000000,bottom
D_24,D,D_SOD-123,182.166390,-28.575000,90.000000,bottom
D_25,D,D_SOD-123,217.884375,-28.575000,90.000000,bottom
D_26,D,D_SOD-123,236.934375,-28.575000,90.000000,bottom
D_27,D,D_SOD-123,255.984375,-28.575000,90.000000,bottom
D_28,D,D_SOD-123,260.746875,-28.575000,90.000000,bottom
D_29,D,D_SOD-123,32.146875,-47.625000,90.000000,bottom
D_30,D,D_SOD-123,51.387500,-47.625000,90.000000,bottom
D_31,D,D_SOD-123,70.437500,-47.625000,90.000000,bottom
D_32,D,D_SOD-123,89.487500,-47.625000,90.000000,bottom
D_33,D,D_SOD-123,108.537500,-47.625000,90.000000,bottom
D_34,D,D_SOD-123,127.587500,-47.625000,90.000000,bottom
D_35,D,D_SOD-123,146.637500,-47.625000,90.000000,bottom
D_36,D,D_SOD-123,165.687500,-47.625000,90.000000,bottom
D_37,D,D_SOD-123,184.737500,-47.625000,90.000000,bottom
D_38,D,D_SOD-123,203.787500,-47.625000,90.000000,bottom
D_39,D,D_SOD-123,206.200000,-47.625000,90.000000,bottom
D_40,D,D_SOD-123,241.696875,-47.625000,90.000000,bottom
D_41,D,D_SOD-123,244.078125,-47.625000,90.000000,bottom
D_42,D,D_SOD-123,41.671875,-66.675000,90.000000,bottom
D_43,D,D_SOD-123,44.053125,-66.675000,90.000000,bottom
D_44,D,D_SOD-123,60.912500,-66.675000,90.000000,bottom
D_45,D,D_SOD-123,79.962500,-66.675000,90.000000,bottom
D_46,D,D_SOD-123,99.012500,-66.675000,90.000000,bottom
D_47,D,D_SOD-123,118.062500,-66.675000,90.000000,bottom
D_48,D,D_SOD-123,137.112500,-66.675000,90.000000,bottom
D_49,D,D_SOD-123,156.162500,-66.675000,90.000000,bottom
D_50,D,D_SOD-123,175.212500,-66.675000,90.000000,bottom
D_51,D,D_SOD-123,194.262500,-66.675000,90.000000,bottom
D_52,D,D_SOD-123,213.312500,-66.675000,90.000000,bottom
D_53,D,D_SOD-123,232.362500,-66.675000,90.000000,bottom
D_54,D,D_SOD-123,235.743750,-66.675000,90.000000,bottom
D_55,D,D_SOD-123,240.506250,-66.675000,90.000000,bottom
D_56,D,D_SOD-123,22.812500,-85.725000,90.000000,bottom
D_57,D,D_SOD-123,46.625000,-85.725000,90.000000,bottom
D_58,D,D_SOD-123,70.437500,-85.725000,90.000000,bottom
D_59,D,D_SOD-123,151.209375,-85.725000,90.000000,bottom
D_60,D,D_SOD-123,213.312500,-85.725000,90.000000,bottom
D_61,D,D_SOD-123,237.125000,-85.725000,90.000000,bottom
D_62,D,D_SOD-123,258.365625,-85.725000,90.000000,bottom
D_63,D,D_SOD-123,263.128125,-85.725000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,232.500000,-13.850000,90.000000,bottom
J1,Daughterboard,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,243.075000,-20.000000,90.000000,bottom
R1,10k,R_0603_1608Metric,233.212500,-38.250000,180.000000,bottom
R2,5.1k,R_0603_1608Metric,224.500000,-13.462500,270.000000,bottom
R3,5.1k,R_0603_1608Metric,230.000000,-13.287500,270.000000,bottom
SW1,RESET,SW_SPST_TL3342,206.750000,-33.850000,0.000000,bottom
SW2,BOOT,SW_SPST_TL3342,197.500000,-33.850000,0.000000,bottom
U1,SRV05-4,SOT-23-6,227.300000,-13.900000,270.0,bottom
U2,STM32F072C8Ux,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,224.000000,-39.250000,90.000000,bottom
U3,XC6206P332MR,SOT-23,235.750000,-35.050000,180.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,227.800000,0.400000,0.000000,bottom
